Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
421,Matisse Thybulle,SG,22,PHI,27,3,18,1.6,3.7,0.436,1,2.2,0.467,0.6,1.5,0.39,0.574,0.6,0.8,0.682,0.3,0.9,1.2,1.3,1.4,0.7,1,2.1,4.9
422,Anthony Tolliver,PF,34,POR,19,7,15.9,1,3.3,0.302,0.8,2.6,0.3,0.2,0.7,0.308,0.421,0.5,0.7,0.769,0.6,2.4,3,0.7,0.3,0.3,0.7,1.3,3.3
423,Karl-Anthony Towns,C,24,MIN,23,23,33.9,9,17.5,0.514,3.6,8.5,0.418,5.4,9,0.604,0.615,4.9,6.2,0.796,2.7,9,11.7,4.4,1,1.3,3.1,3.5,26.5
424,Gary Trent,SG,21,POR,14,1,8.6,1.1,3,0.357,0.8,1.9,0.407,0.3,1.1,0.267,0.488,0,0,,0.2,1,1.2,0.4,0.2,0.1,0.2,0.7,2.9
425,Allonzo Trier,PG,24,NYK,12,1,13.1,2.3,4.6,0.509,1.2,2.7,0.438,1.2,1.9,0.609,0.636,2.2,2.8,0.788,0.1,1.3,1.4,1.3,0.2,0.3,1.4,1.8,8
426,P.J. Tucker,PF,34,HOU,27,27,36,3.4,7,0.487,2,4.7,0.421,1.4,2.3,0.619,0.627,0.7,1,0.769,1.5,5.7,7.2,1.4,1.4,0.4,1.1,3.4,9.5
427,Evan Turner,PG,31,ATL,15,0,13.9,1.5,3.9,0.39,0,0.3,0,1.5,3.6,0.426,0.39,0.8,0.9,0.857,0.5,1.7,2.1,2.2,0.5,0.5,1.5,1.1,3.9
428,Myles Turner,C,23,IND,20,20,30,4.2,9.7,0.43,1.5,4.3,0.337,2.7,5.4,0.505,0.505,1.6,2.2,0.705,1.4,4.4,5.8,1.2,0.7,2.4,1.6,2.6,11.3
429,Jonas Valan?i?nas,C,27,MEM,25,25,24.8,5.7,10,0.57,0.6,1.4,0.4,5.1,8.6,0.598,0.598,1.7,2.3,0.724,2.6,7.2,9.7,1.8,0.3,0.9,2.2,2.8,13.6
430,Denzel Valentine,SF,26,CHI,15,0,13.5,2.8,6.3,0.447,1.7,3.9,0.431,1.1,2.4,0.472,0.58,0.3,0.3,1,0.2,2.1,2.3,1.3,0.7,0.3,0.5,1.6,7.6
431,Jarred Vanderbilt,SF,20,DEN,3,0,3,0,0,,0,0,,0,0,,,0,0,,0,0.7,0.7,0.3,0,0,0.3,0,0
